Time,!a,!b,!c
2051.2190093445,23,10000,63
2072.72175322549,23,10000,63
2093.67265927147,22,10000,61
2116.2506178823,22,10000,63
2144.35568352593,20,10000,65
2164.60868373219,20,10000,66
2192.83011145831,20,10000,68
2215.40351392835,18,10000,68
2238.22030061663,16,10000,69
2261.42198616323,16,10000,69
2293.85937218552,16,10000,69
2317.81551920713,15,10000,70
2339.14114708293,14,10000,70
2365.45091814294,14,10000,72
2396.51768695683,13,10000,72
2419.51185771428,13,10000,72
2446.41133043774,12,10000,72
2490.89107431289,11,10000,71
2511.3512555446,11,10000,75
2533.47435954712,9,10000,76
2562.44070575701,9,10000,74
2588.52797682742,9,10000,75
2608.99286985017,9,10000,78
2630.83890316689,9,10000,76
2652.43607078536,8,10000,76
2680.73456270264,8,10000,79
2710.61295718016,8,10000,82
2738.78407382205,8,10000,82
2759.92559700293,8,10000,84
2782.20547569237,8,10000,84
2804.64369959487,8,10000,83
2831.98832311041,8,10000,83
2852.06939999146,8,10000,83
2872.14748136836,7,10000,82
2897.90276471111,7,10000,84
2921.07941694768,7,10000,87
2946.96382052538,5,10000,87
2983.90157673753,5,10000,92
3022.66211586266,4,10000,93
3051.4969591349,4,10000,95
3077.64365906725,4,10000,94
3106.85225071405,4,10000,93
3130.93715169289,4,10000,95
3151.78019772096,4,10000,97
3174.50149380505,4,10000,97
3200.94422992198,4,10000,99
3222.14295155547,4,10000,97
3256.81944682251,4,10000,98
3276.97703536982,4,10000,95
3304.9772962459,4,10000,93
3338.88479130639,4,10000,94
3359.59588621419,4,10000,93
3385.25147723542,4,10000,95
3407.01558426909,4,10000,95
3429.57487410614,4,10000,93
3452.14758422553,4,10000,91
3474.15237017498,4,10000,91
3496.13617521427,4,10000,89
3530.77856144589,4,10000,83
3550.94327995023,4,10000,83
3573.25626674883,4,10000,86
3596.40124166322,4,10000,84
3619.75742906971,4,10000,85
3643.94810935097,4,10000,91
3665.8096656262,4,10000,92
3688.80500034638,4,10000,89
3711.16820398758,4,10000,89
3733.59050307182,4,10000,93
3761.69615944743,4,10000,92
3782.28571979708,4,10000,91
3810.571012016,4,10000,87
3832.62888382672,4,10000,85
3856.2060274195,4,10000,84
3887.70845146106,4,10000,84
3909.29384722167,4,10000,84
3944.64171503856,4,10000,82
3966.28344413491,4,10000,83
3991.08910751105,4,10000,85
4013.42703007855,4,10000,84
4037.96266334262,4,10000,89
4062.57481522175,4,10000,88
4084.55873088806,4,10000,89
4111.10576374575,4,10000,91
4132.39080933788,4,10000,91
4159.38471164897,4,10000,95
4181.97632226891,4,10000,94
4201.99493975743,4,10000,98
4224.38521457637,4,10000,95
4260.43330594609,4,10000,95
4282.12905369614,4,10000,97
4306.16309495204,4,10000,98
4330.5466485652,4,10000,99
4352.40702338378,4,10000,98
4375.32342491307,3,10000,94
4398.11245469174,3,10000,93
4422.72881964082,3,10000,92
4445.8751082491,3,10000,93
4469.7135068796,3,10000,94
